product_name	product_url	category	status	stars
"Hammer Airflow True Wireless Earbuds (Blue), 5 Hours Playtime, with Magnetic Charging case (300mah),Built-in Voice Assistant & Bluetooth 5.0"	https://yoshops.com/products/hammer-airflow-true-wireless-earbuds-blue-5-hours-playtime-with-magnetic-charging-case-300mah-built-in-voice-assistant-bluetooth-5-0	Toys & Games	unreviewed	0.0
"Hammer Pulse Oximeter Unisex Smartwatch with Body-Temp Sensor Monitoring, Calling and Activity Tracker"	https://yoshops.com/products/hammer-pulse-oximeter-unisex-smartwatch-with-body-temp-sensor-monitoring-calling-and-activity-tracker	Toys & Games	unreviewed	0.0
Hammer Sting 2.0 Wireless Bluetooth Neckband Earphones Black with Long Battery Life	https://yoshops.com/products/hammer-sting-2-0-wireless-bluetooth-neckband-earphones-black-with-long-battery-life	Toys & Games	unreviewed	0.0
Sony PlayStation PS2 Gaming Console 150 GB Hard Disk With 50 Games Preloaded(Black)	https://yoshops.com/products/sony-playstation-ps2-gaming-console-150-gb-hard-disk-with-50-games-preloaded-black	PlayStation	Reviewd	5.0
Sony PlayStation PS3 Console Slim 320 GB (Black)	https://yoshops.com/products/sony-playstation-3-console-slim-320-gb-black	PlayStation	Reviewd	4.9
Sony PlayStation PS1 with in-built DVD Player (Black)	https://yoshops.com/products/sony-playstation-ps2-with-in-built-dvd-player-black	PlayStation	Reviewd	5.0
Sony PlayStation PS4 Slim 1TB Console(Black)	https://yoshops.com/products/sony-ps4-slim-1tb-console-black	PlayStation	unreviewed	0.0
SONY PlayStation PS4 PRO 1TB Hard Disk(Black)	https://yoshops.com/products/sony-ps4-pro-1tb-hard-disk-black	PlayStation	unreviewed	0.0
"Mini VR BOX Virtual Reality Headsets with ultra 3D glasses Compatible with Android and IOS Devices (Blue, Black)"	https://yoshops.com/products/mini-vr-box-virtual-reality-headsets-with-ultra-3d-glasses-compatible-with-android-and-ios-devices-blue-black	PlayStation	unreviewed	0.0
Big Foot Mini Monster Truck	https://yoshops.com/products/big-foot-mini-monster-truck-red-green-black-blue1	PlayStation	unreviewed	0.0
Vmax HX 750 Quadcopter Drone (No Camera)	https://yoshops.com/products/hx-750-remote-control-flying-drone	Drones	Reviewd	5.0
The Amazing Spider Man Micro Drone Q Series Hyun Lights Upgraded Quadcopter Headless Mode One Key Features	https://yoshops.com/products/the-amazing-spider-man-q-series-24ghz-rc-quad-copter-drone	Drones	Reviewd	5.0
"Falcon Drone Four Axis Aircraft with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera"	https://yoshops.com/products/falcon-drone-four-axis-aircraft-with-2-4-ghz-rc-blade-guard-headless-mode-led-without-camera	Drones	Reviewd	5.0
Kids Drone Quadcopter 2.4G 6-Channel Without Camera	https://yoshops.com/products/kids-drone-quadcopter-2-4g-6-channel-without-camera	Drones	Reviewd	4.6
VMax HX763 Vision Drone 2.4GHz RC Quad-copter Headless Mode One Key Without Camera	https://yoshops.com/products/vmax-vision-hx763-drone-remote-control-quadrocopter	Drones	Reviewd	5.0
HX770 V-Max Aircraft Drone	https://yoshops.com/products/hx770-v-max-aircraft-drone	Drones	Reviewd	4.9
Diabolo Captain America Civil War Q Series Hyun Lights Upgraded Mini Drone Without Camera	https://yoshops.com/products/captain-america-24ghz-rc-quad-copter-drone	Drones	Reviewd	5.0
Avengers Captain America Drone Four Axis Aircraft with 2.4 GHz Without Camera	https://yoshops.com/products/avengers-captain-america-drone-four-axis-aircraft-with-2-4-ghz-rc-blade-guard-headless-mode-led-without-camera	Drones	Reviewd	5.0
Spider Man Mini Drone	https://yoshops.com/products/spider-man-mini-drone	Drones	Reviewd	5.0
Vmax Voyager HX756 Drones Without Camera	https://yoshops.com/products/vmax-voyager-remote-control-drones-blackwhite	Drones	Reviewd	5.0
Minions Mini Drone	https://yoshops.com/products/minions-mini-drone	Drones	Reviewd	5.0
